61200.66304732676, 126, -1.0
61201.08527803417, 73, -1.0
61205.99322127002, 90, -1.0
61207.9081660495, 142, -1.0
61211.80734736023, 36, 1.0
61213.43593040828, 103, -1.0
61214.86352856463, 114, 1.0
61221.39407352834, 87, -1.0
61222.117416640605, 40, -1.0
61227.2819972664, 87, -1.0
61227.71476271086, 83, 1.0
61228.13393634839, 87, 1.0
61228.36828967638, 171, -1.0
61230.23620762614, 100, 1.0
61230.839868139396, 87, -1.0
61230.92477400058, 45, -1.0
61231.6969418523, 153, 1.0
61231.7546386624, 94, -1.0
61232.10678547116, 60, -1.0
61232.65881474889, 165, 1.0
61234.13178675204, 104, -1.0
61238.626169054696, 163, 1.0
61238.99437176789, 36, 1.0
61244.16620075577, 88, -1.0
61247.82065518986, 68, 1.0
61248.07443947155, 159, -1.0
61250.33181858156, 153, -1.0
61251.50975712527, 173, -1.0
61254.50285766627, 108, 1.0
61255.45445388781, 97, 1.0
61257.76029775222, 165, 1.0
61259.392802222355, 111, 1.0
61261.484264656436, 198, 1.0
61263.76490307283, 153, -1.0
61265.9370884737, 114, 1.0
61267.20824339573, 67, -1.0
61267.76836629587, 118, 1.0
61271.1196437807, 161, 1.0
61272.71265276705, 165, -1.0
61275.891414770835, 72, -1.0
61279.685284686006, 63, 1.0
61281.46614204563, 142, 1.0
61290.19304342582, 163, 1.0
61292.61772975333, 58, 1.0
61292.89899160168, 162, 1.0
61294.68097917829, 177, -1.0
61295.44376858184, 54, -1.0
61295.63404643032, 116, 1.0
61296.57044790264, 142, -1.0
61297.024372264204, 58, 1.0
61300.66808922282, 44, -1.0
61301.28637898383, 142, 1.0
61301.51283680024, 31, -1.0
61301.78778083132, 157, 1.0
61302.20481258769, 97, -1.0
61302.899184206384, 54, -1.0
61303.98488797491, 82, 1.0
61304.66500819047, 115, -1.0
61306.66324008018, 44, 1.0
61307.59160899292, 66, 1.0
61312.07067165004, 153, 1.0
61313.1916144362, 126, -1.0
61315.806308912965, 146, -1.0
61316.06829221217, 165, 1.0
61318.25991674855, 59, -1.0
61318.99093132907, 148, 1.0
61319.70885357288, 146, -1.0
61319.85579410779, 66, -1.0
61321.61597842305, 165, 1.0
61321.628340223506, 97, 1.0
61322.39701910757, 146, -1.0
61324.336038934525, 118, 1.0
61324.35816575819, 41, 1.0
61327.89751294264, 97, 1.0
61328.52516948765, 142, -1.0
61328.881079331906, 108, -1.0
61329.19025399015, 96, -1.0
61330.153989252256, 26, 1.0
61330.87295329112, 29, 1.0
61332.445776321896, 146, 1.0
61333.85370708215, 88, 1.0
61337.30242900991, 58, -1.0
61337.5409812902, 92, 1.0
61338.52049923211, 164, 1.0
61339.668862758954, 42, -1.0
61341.03388356454, 35, 1.0
61342.272873788745, 58, -1.0
61343.005772690216, 71, -1.0
61344.42653225288, 81, 1.0
61345.4181967109, 159, -1.0
61346.495414310186, 58, -1.0
61347.077939236, 126, -1.0
61351.32419806776, 84, 1.0
61352.0852909629, 76, -1.0
61353.3956240431, 154, -1.0
61358.74064048042, 103, -1.0
61360.4467425866, 97, 1.0
61360.57882472172, 70, -1.0
61360.6863620082, 60, -1.0
61362.39253917155, 28, 1.0
61366.332431686395, 164, 1.0
61366.51469899808, 81, 1.0
61367.43252585451, 68, -1.0
61367.641435102756, 67, 1.0
61367.76704286327, 71, 1.0
61369.23351417234, 96, -1.0
61371.58581907899, 116, 1.0
61375.43987467256, 119, -1.0
61375.766714609585, 27, -1.0
61376.08426121788, 126, 1.0
61382.67025862128, 58, 1.0
61383.92128104037, 105, -1.0
61383.95987135244, 50, 1.0
61385.37787647619, 166, -1.0
61385.67905216258, 167, 1.0
61385.78101936611, 165, 1.0
61389.90980328953, 42, -1.0
61390.648765966514, 91, 1.0
61398.40465633047, 76, -1.0
61398.48983373501, 97, 1.0
61401.144550412115, 148, -1.0
61404.93689177089, 141, -1.0
61405.01598104082, 26, 1.0
61409.770251374, 169, -1.0
61410.879694871306, 158, -1.0
61411.09482592006, 59, 1.0
61411.25204105591, 198, 1.0
61415.42370264374, 59, -1.0
61423.09461501203, 165, 1.0
61425.7368732197, 83, -1.0
61429.03747213036, 118, -1.0
61430.461607811376, 75, 1.0
61431.00606293982, 133, -1.0
61431.143808268585, 126, -1.0
61431.89333452466, 165, 1.0
61434.99969842332, 142, 1.0
61437.68292288045, 141, -1.0
61439.26265813066, 161, 1.0
61440.47632608172, 73, -1.0
61441.229358689336, 66, -1.0
61442.08826022354, 182, 1.0
61443.19840821267, 106, -1.0
61446.30130453908, 45, 1.0
61446.47647494673, 234, -1.0
61448.153924655846, 146, -1.0
61448.61418199386, 116, -1.0
61449.615060718614, 228, -1.0
61450.315921946254, 41, 1.0
61452.10305073723, 64, -1.0
61454.32562967836, 36, -1.0
61454.99408365, 126, -1.0
61458.08565501335, 63, 1.0
61462.00491121688, 148, 1.0
61462.28843067122, 130, 1.0
61462.30461371274, 35, -1.0
61462.95477541543, 58, 1.0
61466.19025685607, 88, -1.0
61468.89084731277, 119, -1.0
61471.78496372281, 112, -1.0
61474.978209461326, 58, -1.0
61475.57222911903, 69, 1.0
61475.91517676244, 39, -1.0
61476.39527678404, 149, -1.0
61476.73888277856, 58, 1.0
61477.98007988983, 101, -1.0
61478.690050530946, 70, -1.0
61480.54902397269, 241, -1.0
61481.99631505106, 72, -1.0
61482.87460820128, 50, -1.0
61487.37882782881, 61, 1.0
61487.68571570799, 198, 1.0
61488.33348385546, 83, 1.0
61489.97380264046, 169, -1.0
61490.24181943982, 84, 1.0
61491.50033106269, 110, -1.0
61491.73720541622, 43, 1.0
